player_depth_chart_position,player_id,player_name,player_position,player_team
,4117,Derek Rivers,DE,HOU
,3749,Kache Palacio,ILB,
,1630,Darius Eubanks,LB,
,87,Jeff King,TE,
,1649,Jordan Kovacs,DB,
,1903,Taylor Gabriel,WR,
,466,Vontae Davis,CB,
,3741,Shakiel Randolph,SS,
,222,Josh Morgan,WR,
QB,5806,John Wolford,QB,LAR
,4930,Franko House,TE,CHI
,2900,Terrence Franks,,
,3209,Devontae Booker,RB,
,2535,Mark Nzeocha,LB,
,7415,John Houston,LB,
,4699,Kevin Snead,WR,
,6764,Derrick Moncrief,LB,
,4821,Jamari Staples,WR,
SWR,928,Randall Cobb,WR,GB
,7313,Liam McCullough,LS,ATL
,4873,Kris Richard,,
RCB,8308,Derek Stingley,DB,HOU
,983,Mike Person,G,
,3105,Paul Guenther,,
,7954,Connor Wedington,WR,
,6286,Tim Harris,CB,
QB,24,Matt Ryan,QB,IND
,4849,Armagedon Draughn,FS,
,225,L.P. LaDouceur,LS,
,1126,Brock Osweiler,QB,
,6537,Ryan Anderson,G,
,8920,Devin Jones,CB,
,4345,Bam Bradley,ILB,
,2561,Anthony Boone,QB,
,2485,Kaelin Clay,WR,
,2185,Corey Brown,WR,
ROLB,7721,Chris Rumph,LB,LAC
,4288,Chase Roullier,C,WAS
,1115,Antwon Blake,CB,
,1050,Marcus Thigpen,WR,
,5624,Keith Ford,RB,
,2845,Tevin Westbrook,TE,
,6674,Garrett McGhin,OT,NYG
,138,Ben Roethlisberger,QB,PIT
TE,3214,Hunter Henry,TE,NE
,2191,Marcus Lucas,WR,
,5998,Clifton Duck,CB,
,3777,Dillon Gordon,OT,
,2408,Bryce Petty,QB,
,6093,Jake Bailey,P,NE
,8549,Trevon Clark,WR,
,6716,Olive Sagapolu,DT,
,1981,Deandre Coleman,DT,
LCB,672,Donald Washington,CB,
,2010,Jordan Sullen,CB,
,2913,Gavin Lutman,WR,
,7031,Ray Lima,DT,
,1296,Cory Harkey,TE,
,7604,Tamorrion Terry,WR,
,4575,Nate Theaker,G,
,4591,Dymonte Thomas,FS,
RG,2438,Mark Glowinski,G,NYG
,3429,Darien Harris,OLB,
,471,Garrison Sanborn,LS,TB
,4008,Greg Manusky,,
,4437,Connor Harris,FB,
,7987,Darius Hodge,DE,
,442,Geoff Schwartz,G,
,4462,Erik Magnuson,C,
,8899,Prince Emili,DT,NO
,1160,Tahir Whitehead,LB,
,7617,Matt Ammendola,K,
DE,5297,Zach Sieler,DT,MIA
,5391,Steven Dunbar,WR,
,5716,Brandon Smith,OT,
,6700,Marcelias Sutton,RB,
ROLB,8382,Kingsley Enagbare,DL,GB
,6176,Cameron Smith,LB,
,8890,Naz Bohannon,TE,
,4941,Dontre Wilson,WR,
,7060,Ben Bartch,OL,JAX
,3427,Trae Elston,SS,
,8533,Josh Sokol,C,MIN
,8907,Jack Coco,LS,GB
LT,734,Trent Williams,T,SF
,4908,Steve Keim,,
QB,96,Aaron Rodgers,QB,GB
MLB,1507,Jon Bostic,LB,WAS
,2271,Brock Coyle,LB,
,8812,Jonathan Garibay,K,
RILB,6997,Shaquille Quarterman,LB,JAX
,5715,R.J. Prince,OG,
RG,5610,Evan Brown,C,DET
LTE,8210,Chigoziem Okonkwo,TE,TEN
,1964,Ulrick John,T,
,5091,Parry Nickerson,CB,MIN
,1686,Tony Jefferson,DB,NYG
,6761,Urban Meyer,,
,2121,T.J. Jones,WR,
,7584,Brennan Eagles,WR,
C,2354,Mitch Morse,C,BUF
,8433,Cade Brewer,TE,
,4010,Dom Capers,,
,3411,Jordan Lomax,FS,
,6583,Joshua Moon,SS,
LCB,3557,Brandon Williams,CB,NYG
,4924,Zach Terrell,QB,BAL
,6726,Patrick Lawrence,OT,
,3009,Sean Hickey,OT,
,7874,Jeremiah Haydel,WR,
,8186,Devon Williams,WR,
,378,Pat McAfee,P,
,2135,Ha Ha Clinton-Dix,DB,DEN
,6161,L.J. Scott,RB,
,6722,Dave Deguglielmo,,
WLB,7012,Mykal Walker,LB,ATL
,2416,Tre' Jackson,G,
,1238,Josh Harris,LS,LAC
PK,7922,Riley Patterson,K,JAX
,7062,Rodrigo Blankenship,K,
,2930,Justin Tukes,TE,
,899,Dan Bailey,K,
,5389,Alan Knott,C,
RDE,5090,Folorunso Fatukasi,DT,JAX
,14,Sidney Rice,WR,
,8691,Vi Jones,LB,SEA
,4139,Amara Darboh,WR,
WLB,6430,Curtis Bolton,LB,LV
,8753,Cortez Davis,DB,
,1411,Landry Jones,QB,
,4140,Shaquill Griffin,CB,JAX
,6734,Thomas Costigan,DL,
,1539,Paul Worrilow,LB,
,996,Richard Sherman,CB,
,4690,Ken Ekanem,OLB,
